Toyota Corolla LE Automatic,Ibadan,Foreign Used,2003,89000,Automatic,1825000
Honda Accord LX,Ibadan,Foreign Used,2006,93000,Automatic,1500000
Lexus ES 330,Ibadan,Foreign Used,2005,90000,Automatic,2050000
Toyota Corolla S Automatic,Ibadan,Foreign Used,2003,89000,Automatic,1850000
Toyota Land Cruiser Prado,Ship & Import Ready,Foreign Used,2007,14300,Automatic,30500000
Mercedes-Benz G63,Ship & Import Ready,Brand New,2015,338,Automatic,448000000
Toyota Corolla LE Automatic,Lagos,Foreign Used,2014,72461,Automatic,5500000
Lexus ES 350,Lagos,Foreign Used,2011,85094,Automatic,5000000
Toyota Corolla LE Automatic,Lagos,Foreign Used,2010,96449,Automatic,2500000
Lexus RX 350 4x4,Lagos,Foreign Used,2010,131940,Automatic,7500000
Honda Accord LX,Ibadan,Locally Used,2014,56900,Automatic,4500000
Toyota RAV4 4WD,Lagos,Foreign Used,2015,34792,Automatic,7300000
Mercedes-Benz ML350,Lagos,Foreign Used,2005,158573,Automatic,2600000
Lexus ES 350,Lagos,Foreign Used,2008,133999,Automatic,4000000
Mercedes-Benz C300,Lagos,Locally Used,2008,52571,Automatic,3400000
Toyota 4-Runner,Lagos,Foreign Used,2010,41026,Automatic,9000000
Lexus ES 350,Lagos,Foreign Used,2007,95610,Automatic,3850000
Mercedes-Benz C300,Lagos,Foreign Used,2013,92000,Automatic,7800000
Mercedes-Benz CLA-Class,Lagos,Foreign Used,2014,34000,Automatic,11700000
Mercedes-Benz C300,Lagos,Foreign Used,2008,92000,Automatic,4000000
Honda Accord Coupe LX,Lagos,Foreign Used,2014,24500,Automatic,4900000
Lexus ES,Lagos,Foreign Used,2005,97000,Automatic,2000000
Toyota Camry,Lagos,Foreign Used,2007,79000,Automatic,2700000
Toyota Venza,Lagos,Foreign Used,2010,78000,Automatic,5500000
Lexus ES,Lagos,Foreign Used,2007,80916,Automatic,2950000
Lexus RX 350,Lagos,Foreign Used,2009,104000,Automatic,4300000
Toyota Camry LE,Lagos,Foreign Used,2013,61000,Automatic,5500000
Toyota Camry,Lagos,Foreign Used,2016,12000,Automatic,7500000
Mercedes-Benz E350,Lagos,Foreign Used,2014,23000,Automatic,12000000
Toyota Tacoma,Lagos,Foreign Used,2007,82000,Automatic,5500000
Toyota Corolla,Lagos,Foreign Used,2014,23000,Automatic,5000000
Toyota Camry LE,Lagos,Foreign Used,2017,6000,Automatic,8200000
Kia Sportage 2.0 4x4 Automatic,Lagos,Locally Used,2009,149550,Automatic,2300000
Honda Accord 2.4,Lagos,Locally Used,2012,215320,Automatic,3000000
Toyota Sienna XLE 4WD,Lagos,Locally Used,2008,111504,Automatic,1500000
Honda Accord,Lagos,Foreign Used,2010,68050,Automatic,2650000
Toyota 4-Runner,Lagos,Foreign Used,2005,76000,Automatic,3500000
Toyota Camry 2.4 XLE,Lagos,Foreign Used,2008,69880,Automatic,2900000
Lexus ES 350,Lagos,Foreign Used,2008,67023,Automatic,3900000
Honda Accord,Lagos,Foreign Used,2010,78670,Automatic,2600000
Lexus ES 350,Lagos,Foreign Used,2010,78670,Automatic,5500000
Toyota RAV4,Lagos,Foreign Used,2008,78670,Automatic,3200000
Honda Accord,Lagos,Foreign Used,2010,78670,Automatic,2800000
Toyota Corolla 1.8 VVTLi,Lagos,Foreign Used,2011,56859,Automatic,3100000
Lexus ES 300,Lagos,Foreign Used,2004,78670,Automatic,2200000
Toyota Avalon XLS,Lagos,Foreign Used,2008,78670,Automatic,2800000
Lexus ES 350,Lagos,Foreign Used,2008,78670,Automatic,4000000
Honda Accord,Lagos,Foreign Used,2007,56859,Automatic,1800000
Toyota 4-Runner,Lagos,Locally Used,2005,98000,Automatic,2400000
Toyota Corolla,Lagos,Locally Used,2010,50000,Automatic,2200000
Land Rover Range Rover Evoque,Lagos,Foreign Used,2012,56000,Automatic,15800000
Toyota Corolla,Lagos,Foreign Used,2006,78000,Automatic,2000000
Lexus ES 300,Lagos,Foreign Used,2003,67000,Automatic,1900000
Toyota Venza,Lagos,Foreign Used,2010,65000,Automatic,6500000
Toyota Avalon,Lagos,Foreign Used,2016,23000,Automatic,16500000
Mercedes-Benz C300,Lagos,Foreign Used,2015,34000,Automatic,17500000
Ford Explorer,Lagos,Foreign Used,2014,67000,Automatic,12500000
Toyota Corolla,Lagos,Locally Used,2010,85000,Automatic,2200000
Toyota Sienna,Lagos,Foreign Used,2002,86000,Automatic,1800000
Lexus ES,Lagos,Foreign Used,2013,23000,Automatic,13000000
Toyota Corolla,Lagos,Foreign Used,2004,85000,Automatic,1780000
Toyota 4-Runner,Lagos,Locally Used,2005,98000,Automatic,2450000
Lexus GS,Lagos,Foreign Used,2008,58000,Automatic,4400000
Lexus ES,Lagos,Foreign Used,2003,78000,Automatic,1850000
Honda Accord CrossTour,Lagos,Foreign Used,2013,24000,Automatic,8500000
Toyota Sienna,Lagos,Foreign Used,2006,67000,Automatic,2400000
Honda Accord CrossTour EX-L AWD,Lagos,Foreign Used,2010,99000,Automatic,5400000
Toyota RAV4,Lagos,Locally Used,2008,78000,Automatic,2250000
Toyota Corolla 1.8 VVTLi,Lagos,Locally Used,2006,98000,Automatic,1550000
Toyota 4-Runner,Lagos,Foreign Used,2005,85369,Automatic,1880000
Toyota 4-Runner,Lagos,Foreign Used,2005,68293,Automatic,3150000
Toyota Avalon XLE Premium,Lagos,Foreign Used,2008,62840,Automatic,2980000
Toyota Highlander Limited V6,Lagos,Locally Used,2008,72840,Automatic,3980000
Ford Explorer Limited 4.0,Lagos,Foreign Used,2014,36286,Automatic,12500000
Toyota Corolla Automatic,Lagos,Foreign Used,2009,67941,Automatic,2950000
Lexus RX 330 4WD,Lagos,Foreign Used,2006,62840,Automatic,3700000
Toyota Venza Limited FWD V6,Lagos,Foreign Used,2014,32840,Automatic,10000000
Lexus RX 330 4WD,Lagos,Foreign Used,2006,62840,Automatic,3980000
BMW 7 Series Sedan 740Li xDrive,Lagos,Foreign Used,2012,13000,Automatic,15500000
Mercedes-Benz GLE,Lagos,Foreign Used,2016,10000,Automatic,40000000
Mercedes-Benz GL Class 5.5 V8,Lagos,Foreign Used,2012,62000,Automatic,13500000
Toyota Highlander 3.5L 4WD,Lagos,Foreign Used,2017,9000,Automatic,23000000
Toyota Highlander 3.0,Lagos,Foreign Used,2001,96000,Automatic,2450000
Mercedes-Benz E350,Lagos,Locally Used,2010,35000,Automatic,6900000
BMW X6 xDrive 50i,Lagos,Locally Used,2013,32000,Automatic,15000000
Lexus IS 250 AWD,Lagos,Locally Used,2006,119000,Automatic,3400000
Mercedes-Benz Sprinter,Lagos,Foreign Used,2016,4000,Automatic,33000000
Pontiac Vibe 1.8L,Lagos,Foreign Used,2004,100000,Automatic,1900000
Lexus ES 350,Lagos,Foreign Used,2010,68000,Automatic,5800000
Mercedes-Benz GLK 350 4MATIC,Lagos,Locally Used,2010,71000,Automatic,7200000
Toyota Corolla,Lagos,Foreign Used,2016,25000,Automatic,6500000
Lexus RX 350,Lagos,Foreign Used,2010,86000,Automatic,7600000
Toyota Highlander Limited 3.5l 4WD,Lagos,Foreign Used,2014,17000,Automatic,14000000
Toyota Sienna XLE,Lagos,Foreign Used,2011,82000,Automatic,5900000
Toyota Sienna LE 7 Passenger,Lagos,Foreign Used,2008,85000,Automatic,2850000
Mercedes-Benz E350,Lagos,Foreign Used,2011,58000,Automatic,11000000
Mercedes-Benz ML350,Lagos,Foreign Used,2013,75000,Automatic,16000000
Mercedes-Benz GLE,Lagos,Foreign Used,2016,23000,Automatic,39500000
Toyota Camry,Lagos,Foreign Used,2007,93000,Automatic,3200000
Toyota Camry,Lagos,Foreign Used,2013,83000,Automatic,5000000
Honda CR-V,Lagos,Foreign Used,2015,52000,Automatic,11800000
Land Rover Range Rover,Lagos,Foreign Used,2014,23000,Automatic,38000000
Acura ZDX,Lagos,Foreign Used,2012,43000,Automatic,11000000
Toyota Tundra,Lagos,Foreign Used,2014,52000,Automatic,16500000
Toyota Tundra SR5 Double Cab,Lagos,Foreign Used,2016,4100,Automatic,25500000
Vauxhall Astra,Lagos,Foreign Used,2004,90000,Manual,700000
BMW 7 Series,Lagos,Locally Used,2012,3000,Automatic,86000000
Jaguar XJ,Lagos,Foreign Used,1996,80000,Automatic,2800000
DAF 95,Lagos,Foreign Used,2000,100000,Manual,9500000
Honda Accord,Lagos,Foreign Used,2003,97000,Automatic,1600000
Honda Pilot,Lagos,Foreign Used,2013,60000,Automatic,11000000
Toyota Camry XSE,Lagos,Foreign Used,2016,23000,Automatic,10500000
Toyota Camry XLE Automatic,Lagos,Foreign Used,2012,37000,Automatic,6200000
Toyota Corolla LE Automatic,Lagos,Foreign Used,2012,65000,Automatic,3850000
Toyota Camry SE Automatic,Lagos,Foreign Used,2012,39600,Automatic,5000000
Honda Accord,Lagos,Foreign Used,2009,101000,Automatic,2650000
Honda Accord EX Automatic,Lagos,Foreign Used,2013,66684,Automatic,5500000
Lexus RX 350 AWD,Lagos,Foreign Used,2014,15138,Automatic,12500000
Lexus RX 350 FWD,Lagos,Foreign Used,2010,113338,Automatic,8500000
Honda Accord EX-L Automatic,Lagos,Foreign Used,2013,66697,Automatic,5800000
Lexus GS 350,Lagos,Foreign Used,2008,127169,Automatic,4000000
Mercedes-Benz C300,Lagos,Foreign Used,2008,106665,Automatic,4000000
Honda Accord CrossTour EX-L AWD,Lagos,Foreign Used,2011,130622,Automatic,4150000
Mercedes-Benz E350,Lagos,Foreign Used,2014,33000,Automatic,16000000
Toyota RAV4 2.4,Lagos,Foreign Used,2007,62840,Automatic,3600000
Toyota Corolla 1.8,Lagos,Foreign Used,2010,62840,Automatic,2999999
